"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
840,"58",NA,"USA","Sauerbrunn","passes.f.c","D3R","DM3R",NA,NA,"COL","Usme","pressured","A3L",NA,NA,NA,NA,NA,NA
841,"58",NA,"USA","Press","passes.b.c","DM3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,"58",NA,"USA","O'Hara","passes.f.c","D3R","DM3R",NA,NA,"COL","Rincon","pressured","A3L",NA,NA,NA,NA,NA,NA
843,"58",NA,"USA","Press","passes.b.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,"58",NA,"USA","Long","passes.f.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"58",NA,"USA","Klingenberg","passes.f.c","DM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"58",NA,"USA","Heath","take.on.lost","A3L",NA,NA,NA,"COL","Asprilla","tackles.ball","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
847,"58",NA,"USA","Heath","passes.b.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,"58",NA,"USA","Long","passes.f.c","A3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,"58",NA,"USA","Dunn","passes.f.c","A3L","A3L","flick.on",NA,"COL","Arias","pressured","D3R",NA,NA,NA,NA,NA,NA
850,"59",NA,"USA","Klingenberg","passes.b.c","A3L","A3L",NA,NA,"COL","Asprilla","pressured","D3R",NA,NA,NA,NA,NA,NA
851,"59",NA,"USA","Heath","passes.f.c","A3L","A18","corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
